Key,Phase,Day,Block,Slot,Variant,Exercise,Sets,Target_Reps,Load_Note,PAP_Exercise,PAP_Sets,PAP_Reps,Combo_Focus,Cue
P3-D5-BAG-1,3,5,BAG,1,STANDARD,Bag Work — Head Kick Masterclass,8,3 min rounds,60s rest,,,,"R1-2: Setup only (no full kick) | R3-4: Full head kick from orthodox | R5: Switch foot head kick | R6: 3-punch + head kick | R7: Defence + head kick counter | R8: Full fight — use everything","Phase 3 pinnacle. Head kicks come from the hip. Not the leg."
P3-D5-CLR-1,3,5,COOLDOWN,1,STANDARD,Pigeon Pose EXTENDED,3,90s each,Never skip this,,,,,Non-negotiable forever
P3-D5-CLR-2,3,5,COOLDOWN,2,STANDARD,Prone Hip Extension,2,60s each,Same,,,,,Same cue
P3-D5-CLR-3,3,5,COOLDOWN,3,STANDARD,Child's Pose + Hip Shift,2,60s each,Same,,,,,Same cue
P3-D5-CLR-4,3,5,COOLDOWN,4,STANDARD,Side-Lying Hip Abduction Hold,2,45s each,Same,,,,,Same cue
P3-D5-CLR-5,3,5,COOLDOWN,5,STANDARD,Supine Spinal Twist,2,60s each,Same,,,,,Same cue
P3-D6-MOB-1-STD,3,6,MOBILITY,1,STANDARD,Band Pull-Apart,2,15 reps,Same,,,,,Same cue
P3-D6-MOB-2-STD,3,6,MOBILITY,2,STANDARD,Scapular Wall Slides,2,10 reps,Same,,,,,Same cue
P3-D6-MOB-3-STD,3,6,MOBILITY,3,STANDARD,T-Spine Extension over Foam Roller,2,10 reps,Same,,,,,Same cue
P3-D6-STR-1,3,6,STRENGTH,1,STANDARD,Weighted Pull-up,4,3 reps,+30kg Phase 3 — near max,Explosive Pull-up (BW),4,6,,"Phase 3 peak. Rest enough between. Quality over speed."
P3-D6-STR-2,3,6,STRENGTH,2,STANDARD,Chest-Supported Row,3,5 reps,Heavy,,,,,,"Phase 3: heaviest row. Pulling strength for clinch."
P3-D6-STR-3,3,6,STRENGTH,3,STANDARD,Landmine Row + Rotation,3,8 each,+5kg vs P2,,,,,Same cue
P3-D6-STR-4,3,6,STRENGTH,4,STANDARD,Cable High-to-Low Woodchop,3,10 each,Max controllable load,,,,,Same cue
P3-D6-BAG-1,3,6,BAG,1,STANDARD,Bag Work — Full Fight Simulation,8,3 min rounds,60s rest,,,,"Championship rounds: every round is a different opponent archetype. R1 vs Boxer. R2 vs Kicker. R3 vs Wrestler. R4 vs Pressure fighter. R5-8: Full flow.","Phase 3 finale. You've built the power. Now you fight."
P3-D6-CLR-1,3,6,COOLDOWN,1,STANDARD,Lat/Serratus Band Stretch,2,45s each,Same,,,,,Same cue
P3-D6-CLR-2,3,6,COOLDOWN,2,STANDARD,Overhead Tricep Stretch,2,45s each,Same,,,,,Same cue
P3-D6-CLR-3,3,6,COOLDOWN,3,STANDARD,Doorway Hip Flexor,2,45s each,RIGHT priority,,,,,Same cue
P3-D6-CLR-4,3,6,COOLDOWN,4,STANDARD,Wrist + Forearm Flexor,2,30s each,Same,,,,,Same cue
